 10,       grade2-10日目の予定,    10,    10,    10,     0
 11,       grade2-11日目の予定,    10,    10,    10,     0
 15,       grade2-15日目の予定,    10,    10,    10,     0
 17,       grade2-17日目の予定,    10,    10,    10,     0
 25,       grade2-25日目の予定,    10,    10,    10,     0
 27,       grade2-27日目の予定,    10,    10,    10,     0
 33,       grade2-33日目の予定,    10,    10,    10,     0
 36,       grade2-36日目の予定,    10,    10,    10,     0
 37,       grade2-37日目の予定,    10,    10,    10,     0
 39,       grade2-39日目の予定,    10,    10,    10,     0
