1,今日はお使いを頼まれて、そのおつりをもらった。外は暑かった。,61,-27,41,0
2,今日は、専門の勉強をした。ためになったなあ。,176,-334,0,0
3,今日は、友達と遊んだ。かなり日焼けした。,370,-64,-218,0
4,今日は、友達と遊んだ。かなり日焼けした。,361,-64,-753,0
5,今日は、数学の宿題を進めた。問題が解けるとうれしい。,98,-334,0,0
6,今日は、友達と遊んだ。かなり日焼けした。,387,-64,-635,0
7,今日は、英語の宿題を進めた。いつかは英語で外国の人と話せるかな？,92,-334,0,0
8,今日は、ゲームをして遊んだ。気づいたら夕方になっていた。,279,-124,0,0
9,今日は、科学の宿題をした。思考実験をするのはたのしい。,9,-334,0,0
10,今日は、数学の宿題を進めた。問題が解けるとうれしい。,117,-334,7988,0
11,今日は、ゲームをして遊んだ。気づいたら夕方になっていた。,275,-124,0,0
12,今日はとくになにもしなかった。平和だった。,91,-34,0,0
13,今日はお使いを頼まれて、そのおつりをもらった。外は暑かった。,132,-27,80,0
14,今日はバイトした。バイト先の人と仲良くなった。,178,0,9138,0
15,今日はお使いを頼まれて、そのおつりをもらった。外は暑かった。,172,-27,4,0
16,今日はとくになにもしなかった。平和だった。,56,-15,0,0
17,今日はとくになにもしなかった。平和だった。,179,-151,0,0
18,今日は、専門の勉強をした。ためになったなあ。,173,-334,0,0
19,今日はとくになにもしなかった。平和だった。,140,-177,0,0
20,今日は、科学の宿題をした。思考実験をするのはたのしい。,127,-334,0,0
21,今日はお使いを頼まれて、そのおつりをもらった。外は暑かった。,113,-27,61,0
22,今日はバイトした。バイト先の人と仲良くなった。,162,0,9457,0
23,今日は、読書感想文に書く本を読んだ。本を読むと時間がすぎるのがはやいなあ。,199,-334,0,0
24,今日は、友達と遊んだ。かなり日焼けした。,298,-64,-114,0
25,今日は、数学の宿題を進めた。問題が解けるとうれしい。,105,-334,0,0
26,今日はバイトした。バイト先の人と仲良くなった。,15,0,2431,0
27,今日は、ゲームをして遊んだ。気づいたら夕方になっていた。,14,-124,0,0
28,今日はお使いを頼まれて、そのおつりをもらった。外は暑かった。,106,-27,66,0
29,今日はバイトした。バイト先の人と仲良くなった。,139,0,7371,0
30,今日はとくになにもしなかった。平和だった。,84,-57,0,0
31,今日はバイトした。バイト先の人と仲良くなった。,153,0,1927,0
32,今日はとくになにもしなかった。平和だった。,151,-181,0,0
33,今日は外にでかけた。外は暑かった。,219,-27,0,0
34,今日はバイトした。バイト先の人と仲良くなった。,115,0,2214,0
35,今日は外にでかけた。外は暑かった。,157,-27,0,0
36,今日はお使いを頼まれて、そのおつりをもらった。外は暑かった。,137,-27,55,0
37,今日は、ゲームをして遊んだ。気づいたら夕方になっていた。,6,-124,0,0
38,今日は、ゲームをして遊んだ。気づいたら夕方になっていた。,88,-124,0,0
39,今日は外にでかけた。外は暑かった。,222,-27,0,0
40,今日はとくになにもしなかった。平和だった。,182,-129,0,0
41,今日はお使いを頼まれて、そのおつりをもらった。外は暑かった。,29,-27,17,0
42,今日はとくになにもしなかった。平和だった。,162,-83,0,0
43,今日は、友達と遊んだ。かなり日焼けした。,316,-64,-720,0
44,今日は、英語の宿題を進めた。いつかは英語で外国の人と話せるかな？,78,-334,0,0
